text_original,text_traducido
me acabo de reconciliar con uber pero no con uber ecuador ,I just reconciled with Uber but not Uber Ecuador
hola por favor cancelar la deuda que tengo en mi cuenta le cancele en efectivo un viaje de no voy pagar nuevamente este monto en el próximo viaje verificar monto pendiente por favor,"Hello, please cancel the debt I have in my account, I cancel a trip of this amount again on the next trip to verify pending amount please"
sigo esperando respuesta de un caso que el chófer nisiquiera me recogió ni me llevo al destino pero que si inicio el viaje como si yo hubiera subido nadie responde ya van dos días nada,I still expect a response from a case that the driver did not even pick me up or take me to destination but that if I started the trip as if I had uploaded anyone responds there are nothing two days
ayer pagué el valor de mi viaje en efectivo hoy revisé mi app tengo un saldo quién dirijo el reclamo ,Yesterday I paid the value of my cash trip today I checked my app I have a balance who directed the claim
tres conductores me van cancelando en minutos lo peor es te hacen esperar te cancelan ya casi llegando asco de servicio hasta hoy use su app ,"Three drivers are canceling in minutes, the worst thing is to wait"
señores miren cómo actualizan su app les quitan la opción de cancelar carreras los conductores cancelan los usuarios que pagamos con tarjeta esto es de todos los días de vez en cuando está bien pero ya es todos los días ,Gentlemen look how they update their app.
qué es cómo trabajar de si tienes alguna pregunta regístrate aquí gustosos te atenderemos si tienes alguna inquietud recuerda ,What is how to work if you have any questions register here we will attend to you if you have any concerns remember
lo peor de todo es el conductor solo le pagan el por ciento de eso,The worst of all is the driver only paid him the percent of that
cómo lo pudo resolver en el app mi me dijeron que me iban enviar un correo no me ha llegado nada,How I could solve it in the app
que es cierto que solo pueden ir pasajeros en un auto en uber ,That it is true that they can only go passengers in a car in Uber
mi enamorado le ha pasado tres veces le ha tocado pagar porque no había otra opción hasta que la última vez pudo resolverlo por la app porque nadie nunca le solucionó el problema partir de ahí no nos bajamos hasta decirle al conductor que ponga que ya finalizó todo ,My crush has happened three times to pay because there was no other option until the last time he could solve it by the app because no one ever solved the problem from there we did not go down until he told the driver to put that everything has finished
esto sucedió las pm del en ecuador muchas gracias por su ,This happened the PM in Ecuador thank you very much for your
estimado lector les pido por favor me ayuden compartiendo estos tweets porque para yo no cumplí con la política de espera,Dear reader I ask you please help me by sharing these tweets because for me I did not comply with the waiting policy
disculpe mi cuenta fue suspendida repentinamente me pidieron mi número de teléfono un cliente paso eso por favor ayúdenme,I apologize my account was suddenly suspended my phone number a customer spent that please help me
esto es un problema que está pasando,This is a problem that is happening
si hacen pagos en efectivo en asegúrense que el conductor marcó que se realizó el pago hay una nueva modalidad en la que aunque se haya hecho el pago el conductor puede poner que no se hizo el app no se puede usar me pasó ,"If they make cash payments, be sure that the driver marked that the payment was made there is a new modality in which although the payment has been made, the driver may not be made the app cannot be used"
la misma alevosa afirmación conducta que tienen con respecto al tema se vió en venezuela ecuador bolivia los que ya vivimos este proceso sabemos cómo termina,The same furry of behavior that they have regarding the subject was seen in Venezuela Ecuador Bolivia those who already live this process we know how it ends
nadie asegura nada pero sabemos que ellos llevan siempre la misma vision política sino mira bolivia nocaragua ecuador iba al mismo rumbo el populismo destructor de cerebros,Nobody assures anything but we know that they always carry the same political vision but look Bolivia Nocaragua Ecuador went to the same direction the destroyer of brains
en estas fechas una bola de rateros han aumentado sus tarifas hasta un quien controla esto ,At this time a ball of thief have increased their rates to a who controls this
esto me parece un roboooo total en una carrera que normalmente cuesta ,This seems to me a total roook in a race that normally costs
llevo días intentando tomar un por mi casa es imposible más de min de espera en cambio me dice que no puede cobrar de mi pacificard usd no puedo usar la app que ocurre,"I've been trying for my house for days, it is impossible for a waiting min to, instead he tells me that he can't charge my Pacificard Usd, I can't use the app that occurs"
me pide carnet de vacunación ,Ask me for vaccination card
por favor necesito hablar con un representante de la marca en ecuador fui la oficina en gye no me permitió entrar el señor rugel ,Please I need to talk to a brand representative in Ecuador I was the office in Gye did not allow me to enter Mr. Rugel
jajaja,LOL
qué pasó con los métodos de pago con tarjeta ni con efectivo se puede realizar los viajes solución por favor ,"What happened to the card payment methods or cash you can make the trips, please"
me notifican consumo en uber eats no he pedido nada la tarjeta ya pago el pedido no puede ser posible que no exista como comunicarse con para ayuda necesito que me reembolsen yo no he realizado este consumo espero puedan ayudarme ,"I am notified of consumption in Uber Eats I have not requested anything the card already pays the order, it cannot be possible that it does not exist how to communicate with for help I need to be reimbuiled to me I have not made this consumption I hope they can help me"
la oferta demanda en taxis esta fechas es inevitable pero llegar duplicar casi la tarifa base en cualquier horario que no sea hora pico es una locura ,The supply demand in taxis This dates is inevitable but arriving almost the base rate at any time that is not peak time is crazy
saludos tengo un pago pendiente no entiendo el motivo,greetings I have a pending payment I don't understand the reason
son unas malditas me cobran centavos por un viaje que se pago en efectivo completo encima que puse para pagarle al conductor con tarjeta ese valor igual sigue reflejado en mi cuenta ladrones ,They are cursed charge me for a trip that is paid in full cash on top that I put to pay the driver with a card that equal value remains reflected in my thieves account
hello m having real problems with adding credit card m us based person but living in ecuador for year in the beginning my credit cards works same for my husband but after few months it stopped and now no cards work please help ,hello m Having Real Problems With Adding Credit Card M Us Based Person But Living In Ecuador For Year In The Beginning My Credit Cards Works Same For My Husband But AFTER FET
llevo desde ayer reclamando una carrera que un socio conductor indicó que no la pagué pero si lo hice en efectivo no recibo respuesta por favor necesito transportarme no puedo porque debo pagar ese valor pendiente ,"I have been claiming a career that a driver said yesterday, he indicated that I did not pay it but if I did in cash I do not receive an answer please I need to transport me I cannot because I must pay that pending value"
como es posible que algo si pase es el esfuerzo de alguien que trabaja honradamente confía en su aplicación nos pasa esto que indignante ya no hay como confiar ,"How is it possible that something if happens is the effort of someone who works honestly trusts its application, this happens to us that outraging there is no longer like trusting"
so why are you going to ecuador today instead of working at the job you were elected to some uber rich cabal members giving you the wink wink guided tour have fun beeotch,So Why are you going to Ecuador Today Instead of Working at The Job You Were Elected To Sub Uber Rich Cabal Members Giving You The Wink Wink Guided Tour Have Fun Beeotch
pasó de ser la mejor aplicación de taxis ser una mierda en tan solo unos meses ,It went from being the best taxi application to be shit in just a few months
locosss hagan algo con sus tarifas de mi trabajo en la fco boloña urdesa norte está en qué realidad eso es razonable ,LOCOSSS Do something with your rates of my work at the FCO Boloña Urdesa Norte is what reality is reasonable
póngale por shunsho,Put on SHUNSHO
lo peor es que hay pocas unidades pocos quieren aceptar el pago con tarjeta hay que pedir min antes para asegurar llegar puntual ,The worst thing is that there are few units few want to accept card payment you have to ask for min before to ensure timely
está más caro menos seguro no tiene sentido estos no resuelven nada,"It is more expensive less safe, these do not solve anything"
un pésimo servicio hoy conductores me han cancelado el ro me hizo esperar min el do min esta vez lo llamé el tiempo de las personas es valioso franklin es el chofer por lo menos sancionen ,A lousy service today drivers have canceled the ro made me wait for min. This time I called the time of people is valuable Franklin is the driver at least sanction
que tiro que está más caro que nunca pórtate bien ,that shot that is more expensive than ever get well
recuerda que el banco del pacífico no te contactará para solicitar claves usuarios número completo de tarjeta de cuenta por ningún medio que nuestras cuentas oficiales verificadas son nuestro whatsapp af ,Remember that the Bank of the Pacific will not contact you to request users full number of account card by any means that our verified official accounts are our WhatsApp AFP
hola buenas tardes un gusto saludarte nos encontramos validando tu caso af ,hello good afternoon a pleasure greet you we are validating your case AF
usted es leonor llegó su uber tremenda copiloto ,You are Leonor arrived your uber tremendous co -pilot
nuevamente me hacen doble cobro con el famoso uber pending he puesto el reclamo siempre responden lo mismo deben optimizar su plataforma no escudarse en que es problema del banco sus políticas de reembolso cuando pueden mandar en línea hacer el reverso ,Again they make me double collection with the famous uber pending I have put the claim always respond the same must optimize their platform do not hide that it is the bank's problem their reimbursement policies when they can send the reverse online
jajajajaaja amén,hahahahaha Amen
jajajajajajajjajaja,hahahahahahahaha
solo espero que el del que se me robo el pollo se atragante con un hueso ,I just hope that the one I steal my chicken is attracted to a bone
lamentablemente eso viene sucediendo demasiado veces con los conductores de ellos no ha en los correctivos suficiente ,"Unfortunately that has been happening too much times with their drivers, there is not enough corrective"
qué onda con están sacando para el décimo ,What's up with are taking for the tenth
ya veo,I see
osea en vez de ganar pierdo dinero que no es negocio esto porque no se llevan la menor parte en las cancelaciones dejan la mayor para que se pueda seguir trabajando tengo que esperar días para recibir el supuesto reembolso ,"I mean instead of winning, I lose money that is not business because they do not take the slightest part in the cancellations leave the greatest so that you can continue working I have to wait days to receive the alleged reimbursement"
ehhh su servicio con los nuevos conductores es un asco gracias por su atención pero que feo,Ehhh your service with new drivers is disgusting thanks for your attention but ugly
horita si me dan mis marditos cupones en uber eats después de que me fui de ecuador mmgvos ,Horita if I give me my marditos coupons in Uber Eats after I left Ecuador mmgvos
no me quejo de la tarifa me quejo del servicio que no llegan al punto marcan que han llegado que me hacen esperar esperar cancelan,I do not complain about the rate I complain about the service that do not reach the point that they have arrived that make me wait
gracias por cumplir donde falla ayer no supo llegar mi casa no quieren hacer un reembolso ,"Thank you for fulfilling where it fails yesterday, my house did not want to make a reimbursement"
ahí mismo en la app ,right there in the app
por qué la canceladera ,Why the cancellation
no pida tenga en cuenta algo melissa del precio qle sale usted para pagar se qda con el de comisión el resto la ganancia del conductor hagase ese ejercicio le aseguro que tendrá más empatía con los conductores ,Do not ask to take into account something Melissa of the price that you go out to pay with that of commission the rest of the driver's gain to do that exercise I assure you that you will have more empathy with the drivers
dónde pongo una queja con ,Where do I put a complaint with
se pasan de hp ,They pass from HP
hasta quito ecuador nos lleva años luz en infraestructura hace muuuucho tiempo mucho más país que polombia ,Even Quito Ecuador takes us light years in infrastructure has a long time more country than Polombia
tarifa de miseria no creo que los precios de uber sean de miseria si escojo uber es por seguridad ,Misery rate I don't think Uber prices are misery if I choose Uber is for security
aquí tienen caso para investigar ese carro que claramente indica las placas que están haciendo secuestro express también investiguen uber ya llevan tiempo con quejas denuncias algo pasa ,Here are the case to investigate that car that clearly indicates the plates that are doing express kidnapping also investigate Uber have been complaints for some time something happens
sumándole que desde septiembre no me da solución del hackeó que sufrí hace meses ,adding that since September I do not make a solution of the hacke that I suffered months ago
no usen este servicio tengo una emergencia no contesta nadie si seguimos usándolo van seguir cometiendo irregularidades por favor alguien tiene que pedirles explicaciones,"Do not use this service I have an emergency, nobody answers if we continue to use it, they will continue to commit irregularities please someone has to ask for explanations"
llevo más de minutos esperando un uber no me sale ninguno ,"I've been waiting for an uber for more than minutes, I don't get any"
por favor cómo puedo contactarlos por un hurto ,Please how can I contact them for aft
correcto ,Right
te roban fácilmente sin saber quien es el conductor,They stole you easily without knowing who the driver is
es fácil amiga no pida pida y se dará cuenta que se van pelear por recogerla ,It is easy friend does not ask and will realize that they go fighting to pick her up
ya pues vaya en metro te gusta pagar miseria has de exigir ac,"Well, go by subway you like to pay misery you have to demand ac"
días sigue sin poder solucionar mi caso que inservibles son ,days still can solve my case that unusable are
no se preocuoe que la vida se encarga de pasarle la factura ,Do not worry that life is responsible for paying the invoice
gt gt ,GT GT
gracias amiga si jode de nuevo te aviso ayer ya le dejé en visto azul luego de la jalada e orejas de burro ,Thanks friend if I fuck again I warn you yesterday I left her in blue after the pull and donkey ears
no callar más ,Do not shut up anymore
cuéntame quien es el hijo de mal viento querida amiga compañera para reventarle ante el mundo ,Tell me who is the son of bad wind dear friendly friend to burst him before the world
es un miserable eso no se hace ,It is a miserable that is not done
falta de unidades se cambian indriver por que pagan en efectivo además la comisión es más baja ,Lack of units Indriver are changed because they pay in cash in addition the commission is lower
robarle una persona enferma ni siquiera digo amiga pariente basta esté pasando problemas de salud es lo más miserable se puede hacer así hay mucha gente usted tiene razón llegada la oportunidad robará de nuevo ,"Stealing a sick person does not even say friendly friend is enough to go by health problems is the most miserable one can do so there are many people, you are right to arrive the opportunity will steal again"
si ,Yes
que ser para miserable el tipo ,what to be miserable the type
justos un pedido que demoró más del tiempo que uds prolongaron entonces yo debo esperar el tiempo que les de la gana aún así me cobran no me roben de forma tan fresca pésimo servicio al cliente bye hola ,Just an order that delayed more of the time that you prolonged then I must wait
les cuento que hay tanto desgraciado en la vida que cuando atravesaba ta operación cerebral un compañero militante que tantas veces le presté casa comida con amor respeto me robaba con carreras de mi que estaba atado mi tarjeta pensó que moriría hilo,I tell you that there is so much unfortunate in life that when a militant partner was going through cerebral operation that I gave him a house food with love with respect to me with careers of me that I was tied my card thought that I would die thread
cada vez hay menos en guayaquil ya demoran mucho tiempo,There is less and less in Guayaquil they have already delayed a lot of time
eran los mejores me están perdiendo terriblemente no me saldrán con que esos viajes no te cobran es el servicio ahora te preguntan la forma de pago ,They were the best they are losing me terribly they will not come out that these trips do not charge you is the service now ask you the payment method
en europa me parece que en algunas ciudades de usa ya hay programas piloto de eso con uber si no estoy mal pero en ecuador donde tienes que poner rejas en el baño para que no se lleven el papel higiénico esta como difícil ,In Europe it seems to me that in some cities of the USA there are already ESO pilot programs with Uber if I'm not bad but in Ecuador where you have to put bars in the bathroom so that they do not take the toilet paper is difficult as difficult
incluso para que estos episodios se pueda denunciar como se debe hay que legalizar estas apps ecuador cada vez peor nadie da la cara por los taxistas honrados explotados clientes maltratados ,Even so that these episodes can be denounced as these Ecuador apps must be legalized increasing
